ref;Pregunta;Respuesta;Explicación
1;¿Cuál es el significado real del diseño según Gui Bonsiepe?;Ser un solucionador inteligente de problemas.;Bonsiepe busca rescatar al diseño de su reducción a un mero espectáculo mediático, devolviéndole su propósito central de resolver necesidades funcionales.
2;Bonsiepe afirma que el diseño actual ha dejado de ser un solucionador de problemas para convertirse en un _____ _____.;evento mediático.;Se critica que hoy el diseño se use más como una herramienta de marketing y exhibición que como una disciplina de intervención crítica.
3;¿En qué se basa el discurso proyectual contemporáneo según la crítica de Bonsiepe?;En el uso de palabras de moda o tendencias en lugar de cuestiones críticas.;El discurso ha pasado de un análisis profundo a la adopción de términos superficiales que no cuestionan la realidad social.
4;¿Qué función cumplen las revistas de diseño en el panorama actual según el autor?;Funcionan como cajas de resonancia para el diseño como espectáculo.;En lugar de fomentar el debate crítico, estas publicaciones suelen amplificar los aspectos estéticos y espectaculares del diseño.
5;"¿Cuál era el objetivo principal de los protagonistas del movimiento de la ""Buena Forma""?";Perseguían fines sociopedagógicos y funcionales.;Este movimiento histórico buscaba educar a la sociedad y mejorar la calidad de vida a través de objetos útiles y bien diseñados.
6;"¿Cuál es el objetivo exclusivo de los modernos ""Life Style Centers"" según Bonsiepe?";Perseguir fines comerciales y de marketing.;"A diferencia de los movimientos históricos, los centros de ""estilo de vida"" actuales se enfocan únicamente en la venta y la imagen de marca."
7;¿Cómo define Bonsiepe la relación ideal entre el diseño y la ciencia?;Como una relación entre la complejidad temática y la metodología científica.;El diseño debe emplear métodos científicos cuando la complejidad del problema (técnica o ambiental) supera la mera intuición.
8;Según Bonsiepe ¿cuándo debe el diseño buscar el conocimiento científico?;Técnicamente cuando la temática del proyecto lo exige.;No todo proyecto requiere ciencia, pero aquellos con implicaciones técnicas rigurosas demandan conocimientos especializados.
9;Mencione un ejemplo de Bonsiepe donde el conocimiento científico es fundamental para el diseño.;El diseño de un envase de leche para minimizar el impacto medioambiental.;Resolver problemas ecológicos requiere análisis de materiales y ciclos de vida, lo cual es una tarea científica.
10;¿Qué doctrina económica prioriza la libre actuación del mercado y la mínima intervención del Estado según el texto?;El neoliberalismo.;Bonsiepe cuestiona cómo este modelo económico ha empujado al diseño a servir casi exclusivamente a los intereses del mercado.
11;Bonsiepe propone rescatar la democracia como un concepto político y social alejándola de los puros _____ _____.;intereses económicos.;La democracia debe ser un espacio de bienestar social y participación, no solo un mecanismo de transacciones mercantiles.
12;¿Cómo define Bonsiepe el concepto de democracia en el contexto del diseño?;Como la creación de un espacio de autodeterminación para un proyecto propio.;Diseñar democráticamente significa dar a las personas las herramientas para que decidan y den forma a sus propias vidas.
13;Terminología de Kant: ¿Cómo se denomina la sujeción del individuo a la voluntad de terceros o de un orden impuesto?;Heteronomía.;El diseño debe aspirar a reducir este estado de dependencia, donde el individuo es controlado por fuerzas externas.
14;¿Cuál es el objetivo de Bonsiepe al adherirse a un concepto sustancial de democracia?;La reducción de la heteronomía.;Una democracia sustantiva empodera al ciudadano, haciéndolo menos dependiente de órdenes impuestos desde fuera.
15;"¿Qué postura crítica asume Bonsiepe frente a las ""grandes narrativas"" mencionadas por Fredric Jameson?";Rechaza el conformismo y cree que es necesario creer en la posibilidad de un futuro mejor.;El autor se opone al derrotismo, defendiendo que el diseñador tiene un rol activo y esperanzador en el cambio social.
16;Según Edward Said ¿qué ejercicio define al humanismo?;El ejercicio de competencias lingüísticas para comprender y manejar productos del lenguaje en la historia.;Esta definición resalta la importancia de entender el mundo mediante la interpretación crítica de sus productos y mensajes.
17;Concepto: Humanismo Proyectual;Ejercicio de capacidades proyectuales para interpretar necesidades sociales y elaborar propuestas emancipadoras.;Es la aplicación ética del diseño para ayudar a liberar y empoderar a grupos sociales marginados.
18;¿Qué tipo de artefactos busca crear el humanismo proyectual según Bonsiepe?;Artefactos instrumentales y artefactos semióticos.;Se enfoca tanto en herramientas funcionales (instrumentales) como en comunicaciones con significado (semióticas) que ayuden a la emancipación.
19;¿Cuál es la finalidad social del humanismo proyectual?;Reducir la dominación y la exclusión social.;Su objetivo final es usar el diseño como una herramienta de justicia contra la desigualdad y el control social.
20;"¿Por qué Kenneth Galbraith critica el uso del término ""mercado""?";Porque se utiliza para evitar las connotaciones negativas asociadas al término capitalismo.;El término se usa a menudo como una máscara neutral para ocultar las dinámicas de poder del sistema capitalista.
21;¿Qué papel juegan las grandes corporaciones respecto al diseño según el texto?;Utilizan el diseño como herramienta para expandir y mantener su poder.;Las empresas aprovechan el diseño para dominar mercados e influir en el comportamiento del consumidor en su beneficio.
22;¿Cuál es el punto de contacto entre la manipulación y el diseño según Bonsiepe?;La producción de la apariencia.;El diseño puede usarse de forma engañosa para que las cosas parezcan mejores o diferentes de lo que realmente son.
23;¿Qué beneficio atribuye el autor a la industrialización en el contexto del consumo?;La democratización del consumo mediante el acceso a tecnologías y productos útiles.;La industria permite que herramientas y bienes antes exclusivos lleguen a la mayoría, mejorando la calidad de vida general.
24;Según el texto ¿qué elementos no deben dominar completamente un proyecto de diseño en detrimento de la utilidad?;Los aspectos simbólicos y comunicativos.;Aunque el significado es importante, no debe eclipsar la función real y la utilidad del objeto diseñado.
25;¿Qué riesgo menciona Bonsiepe al actuar bajo una normativa única o autoritaria en el diseño?;"El riesgo de convertirse en un ""Gran Inquisidor"" que impone reglas.";Los diseñadores deben evitar el dogmatismo y reconocer la diversidad de necesidades y puntos de vista.
26;"En el contexto de una ciudad ""convivial"" ¿cómo define Bonsiepe los espacios?";Como lugares indeterminados donde se median intereses legítimos diferentes o contrarios.;Los espacios urbanos deben facilitar la negociación pacífica de las distintas visiones sociales.
27;Virtud del diseño: Ligereza;Considerar el flujo de materiales y energía para evitar el exceso o la superficialidad.;Este principio aboga por la eficiencia y sostenibilidad, evitando el desperdicio de recursos en decoraciones innecesarias.
28;¿Qué riesgo corre el diseño cuando se reduce exclusivamente a lo efímero como las joyas o muebles de autor?;Perder su dimensión crítica y ética vinculada a las preocupaciones básicas de la sociedad.;Centrarse solo en el lujo o el ego artístico desconecta al diseño de las necesidades reales de la mayoría.
29;Bonsiepe defiende que el diseñador no debe ser solo un técnico sino también un _____ _____.;pensador crítico.;"La habilidad técnica no basta; el diseñador debe entender el impacto social y político de su trabajo."
30;"¿Qué significa ""diseñar"" en el contexto de la intervención en la realidad según Bonsiepe?";Tener la predisposición a cambiar la realidad sin distanciarse de ella.;Diseñar es un acto de compromiso práctico para mejorar el mundo a través de la intervención directa.
31;¿Qué debe defender enérgicamente cualquier sociedad que se defina como democrática?;Los intereses públicos frente a los intereses privados desenfrenados.;La verdadera democracia protege los bienes comunes y el bienestar social por encima del lucro privado desmedido.
32;Virtud del diseño: Alteridad;El reconocimiento y respeto por las diferencias culturales frente a la homogeneización de la globalización.;El diseño debe celebrar la identidad local y la diversidad en lugar de imponer un estilo global único.
33;¿Cuál es la relación entre la alteridad y la autonomía de un grupo social?;Permite que cada grupo decida su propio camino sin imposiciones externas.;Respetar la diferencia empodera a las comunidades para que definan su propio desarrollo e identidad.
34;Concepto: Visualidad (en el diseño);Capacidad de utilizar las imágenes como una forma propia de conocimiento y resolución de problemas.;La comunicación visual es una herramienta cognitiva, capaz de explicar realidades complejas más allá de lo decorativo.
35;¿Qué disciplina del diseño ejemplifica la integración equilibrada entre imagen y texto?;El infodiseño (diseño de información).;El diseño de información combina eficazmente lo visual y lo textual para hacer que los datos complejos sean comprensibles.
36;¿Por qué es fundamental la teoría del diseño para la práctica profesional?;Porque toda práctica se desarrolla frente a un escenario teórico y las profesiones sin base teórica se quedan atrás.;La teoría proporciona el marco crítico y los nuevos conocimientos necesarios para que una profesión evolucione.
37;Según Bonsiepe el diseño debe ser un agente de transformación especialmente para los _____.;dominados o menos favorecidos.;El diseño tiene una responsabilidad social de ayudar a quienes tienen menos poder en la sociedad.
38;¿Qué término utiliza Bonsiepe para referirse al diseño centrado exclusivamente en el consumo y la imagen personal?;Diseño de estilo de vida (Life Style).;Esta etiqueta describe al diseño que prioriza el estatus y la identidad superficial sobre las necesidades reales.
39;¿Qué característica define a una profesión en una sociedad tecnológicamente dinámica según el autor?;La capacidad de producir conocimientos propios.;Para seguir siendo relevante, una profesión debe generar su propia investigación y avances teóricos.
40;"El autor afirma que el diseño no es solo apariencia o emoción sino también _____; usabilidad y solución de problemas.";usabilidad y solución de problemas.;La utilidad práctica de un diseño es tan importante como su impacto emocional o estético.
